"No.","Time","Source","Destination","Protocol","Length","Info"
"640","6.692036086","2404:6800:4003:c00::bc","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","1240","Application Data"
"642","6.703127504","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4003:c00::bc","TLSv1.3","150","Change Cipher Spec, Application Data"
"644","6.705483686","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4003:c00::bc","TLSv1.3","263","Application Data"
"652","6.776757019","2404:6800:4003:c00::bc","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","615","Application Data, Application Data"
"654","6.781687998","2404:6800:4003:c00::bc","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","174","Application Data"
"656","6.790779091","2404:6800:4003:c00::bc","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","120","Application Data"
"671","7.760900368","192.168.43.63","114.29.220.99","TLSv1.2","1267","Application Data"
"672","7.762389166","192.168.43.63","114.29.220.99","TLSv1.2","98","Application Data"
"681","8.120615972","114.29.220.99","192.168.43.63","TLSv1.2","1333","Application Data"
"697","8.841605184","192.168.43.63","104.115.92.112","TLSv1.2","583","Client Hello"
"699","8.904756451","104.115.92.112","192.168.43.63","TLSv1.2","1266","[TCP Previous segment not captured] , Ignored Unknown Record"
"705","8.922614112","104.115.92.112","192.168.43.63","TCP","1514","[TCP segment of a reassembled PDU]"
"707","8.964685786","104.115.92.112","192.168.43.63","TLSv1.2","550","Ignored Unknown Record"
"710","8.967927558","192.168.43.63","104.115.92.112","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"711","8.968080843","192.168.43.63","104.115.92.112","TLSv1.2","872","Application Data"
"714","9.015413584","104.115.92.112","192.168.43.63","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"717","9.021920099","104.115.92.112","192.168.43.63","TLSv1.2","295","Application Data"
